Item Name,Item Type,In Battle Effect,Other Effect,Fling Damage,Can be held?
PSNCureBerry,Berry,Cures poison.,,10,TRUE
PRZCureBerry,Berry,Cures paralysis.,,10,TRUE
Burnt Berry,Berry,Cures freeze.,,10,TRUE
Ice Berry,Berry,Cures burn.,,10,TRUE
Bitter Berry,Berry,Cures confusion.,,10,TRUE
Mint Berry,Berry,Cures sleep.,,10,TRUE
MiracleBerry,Berry,Cures any non-volatile status condition and confusion.,,10,TRUE
MysteryBerry,Berry,Restores 5 PP.,,10,TRUE
Berry,Berry,Restores 10 HP.,,10,TRUE
Gold Berry,Berry,Restores 30 HP.,,10,TRUE
Cheri Berry,Berry,Cures paralysis.,,10,TRUE
Chesto Berry,Berry,Cures sleep.,,10,TRUE
Pecha Berry,Berry,Cures poison.,,10,TRUE
Rawst Berry,Berry,Cures burn.,,10,TRUE
Aspear Berry,Berry,Cures freeze.,,10,TRUE
Leppa Berry,Berry,Restores 10 PP.,,10,TRUE
Oran Berry,Berry,Restores 10 HP.,,10,TRUE
Persim Berry,Berry,Cures confusion.,,10,TRUE
Lum Berry,Berry,Cures any non-volatile status condition and confusion.,,10,TRUE
Sitrus Berry,Berry,Restores 25% HP when HP falls below 50%.,,10,TRUE
Figy Berry,Berry,Restores 33% HP when HP falls below 25 but confuses Pokémon that dislike spicy food.,,10,TRUE
Wiki Berry,Berry,Restores 33% HP when HP falls below 25% but confuses Pokémon that dislike dry food.,,10,TRUE
Mago Berry,Berry,Restores 33% HP when HP falls below 25% but confuses Pokémon that dislike sweet food.,,10,TRUE
Aguav Berry,Berry,Restores 33% HP when HP falls below 25% but confuses Pokémon that dislike bitter food.,,10,TRUE
Iapapa Berry,Berry,Restores 33% HP when HP falls below 25% but confuses Pokémon that dislike sour food.,,10,TRUE
Razz Berry,Berry,,Makes wild Pokémon easier to capture.,10,TRUE
Bluk Berry,Berry,—,Sell for P500,10,TRUE
Nanab Berry,Berry,,Makes wild Pokémon move less,10,TRUE
Wepear Berry,Berry,—,Sell for P500,10,TRUE
Pinap Berry,Berry,,Makes wild Pokémon more likely to drop items.,10,TRUE
Pomeg Berry,Berry,,Lowers HP EVs: raises friendship,10,TRUE
Kelpsy Berry,Berry,,Lowers Attack EVs: raises friendship,10,TRUE
Qualot Berry,Berry,,Lowers Defense EVs: raises friendship,10,TRUE
Hondew Berry,Berry,,Lowers Special Attack EVs: raises friendship,10,TRUE
Grepa Berry,Berry,,Lowers Special Defense EVs: raises friendship,10,TRUE
Tamato Berry,Berry,,Lowers Speed EVs: raises friendship,10,TRUE
Cornn Berry,Berry,—,Sell for P500,10,TRUE
Magost Berry,Berry,—,Sell for P500,10,TRUE
Rabuta Berry,Berry,—,Sell for P500,10,TRUE
Nomel Berry,Berry,—,Sell for P500,10,TRUE
Spelon Berry,Berry,—,Sell for P500,10,TRUE
Pamtre Berry,Berry,—,Sell for P500,10,TRUE
Watmel Berry,Berry,—,Sell for P500,10,TRUE
Durin Berry,Berry,—,Sell for P500,10,TRUE
Belue Berry,Berry,—,Sell for P500,10,TRUE
Occa Berry,Berry,Halves damage taken from a super effective Fire-type move.,,10,TRUE
Passho Berry,Berry,Halves damage taken from a super effective Water-type move.,,10,TRUE
Wacan Berry,Berry,Halves damage taken from a super effective Electric-type move.,,10,TRUE
Rindo Berry,Berry,Halves damage taken from a super effective Grass-type move.,,10,TRUE
Yache Berry,Berry,Halves damage taken from a super effective Ice-type move.,,10,TRUE
Chople Berry,Berry,Halves damage taken from a super effective Fighting-type move.,,10,TRUE
Kebia Berry,Berry,Halves damage taken from a super effective Poison-type move.,,10,TRUE
Shuca Berry,Berry,Halves damage taken from a super effective Ground-type move.,,10,TRUE
Coba Berry,Berry,Halves damage taken from a super effective Flying-type move.,,10,TRUE
Payapa Berry,Berry,Halves damage taken from a super effective Psychic-type move.,,10,TRUE
Tanga Berry,Berry,Halves damage taken from a super effective Bug-type move.,,10,TRUE
Charti Berry,Berry,Halves damage taken from a super effective Rock-type move.,,10,TRUE
Kasib Berry,Berry,Halves damage taken from a super effective Ghost-type move.,,10,TRUE
Haban Berry,Berry,Halves damage taken from a super effective Dragon-type move.,,10,TRUE
Colbur Berry,Berry,Halves damage taken from a super effective Dark-type move.,,10,TRUE
Babiri Berry,Berry,Halves damage taken from a super effective Steel-type move.,,10,TRUE
Chilan Berry,Berry,Halves damage taken from a Normal-type move.,,10,TRUE
Liechi Berry,Berry,Raises Attack when HP falls below 25%.,,10,TRUE
Ganlon Berry,Berry,Raises Defense when HP falls below 25%.,,10,TRUE
Salac Berry,Berry,Raises Speed when HP falls below 25%.,,10,TRUE
Petaya Berry,Berry,Raises Special Attack when HP falls below 25%.,,10,TRUE
Apicot Berry,Berry,Raises Special Defense when HP falls below 25%.,,10,TRUE
Lansat Berry,Berry,Raises critical hit ratio when HP falls below 25%.,,10,TRUE
Starf Berry,Berry,Sharply raises a random stat when HP falls below 25%.,,10,TRUE
Enigma Berry,Berry,Restores 25% HP when hit with a super effective move.,,10,TRUE
Micle Berry,Berry,Raises accuracy of next move by ~20% when HP falls below 25%.,,10,TRUE
Custap Berry,Berry,Causes next move to go first in its priority bracket when HP falls below 25%.,,10,TRUE
Jaboca Berry,Berry,Damages attacker for 12.5% HP when hit with a physical move.,,10,TRUE
Rowap Berry,Berry,Damages attacker for 12.5% HP when hit with a special move.,,10,TRUE
Roseli Berry,Berry,Halves damage taken from a super effective Fairy-type move.,,10,TRUE
Kee Berry,Berry,Raises Defense when hit with a physical move.,,10,TRUE
Maranga Berry,Berry,Raises Special Defense when hit with a special move.,,10,TRUE
Hopo Berry,Berry,Restores 10 PP.,If used on a wild Pokemon: the wild Pokemon's reactions are dulled,10,TRUE
Red Orb,Orb,Allows Groudon to undergo Primal Reversion and become Primal Groudon,,0,TRUE
Blue Orb,Orb,Allows Kyogre to undergo Primal Reversion and become Primal Kyogre,,0,TRUE
Jade Orb,Orb,,,0,FALSE
Shock Drive,Drive,Changes Techno Blast into an Electric Type move,,70,TRUE
Burn Drive,Drive,Changes Techno Blast into an Fire Type move,,70,TRUE
Chill Drive,Drive,Changes Techno Blast into an Ice Type move,,70,TRUE
Douse Drive,Drive,Changes Techno Blast into an Water Type move,,70,TRUE
Power Anklet,Power Item,Halves Speed,Grants 8 extra Speed Effort Values after battle and causes a parent that holds it to pass down its Speed Individual Value,70,TRUE
Power Band,Power Item,Halves Speed,Grants 8 extra Special Defense Effort Values after battle and causes a parent that holds it to pass down its Special Defense Individual Value,70,TRUE
Power Belt,Power Item,Halves Speed,Grants 8 extra Defense Effort Values after battle and causes a parent that holds it to pass down its Defense Individual Value,70,TRUE
Power Bracer,Power Item,Halves Speed,Grants 8 extra Attack Effort Values after battle and causes a parent that holds it to pass down its Attack Individual Value,70,TRUE
Power Lens,Power Item,Halves Speed,Grants 8 extra Special Attack Effort Values after battle and causes a parent that holds it to pass down its Special Attack Individual Value,70,TRUE
Power Weight,Power Item,Halves Speed,Grants 8 extra HP Effort Values after battle and causes a parent that holds it to pass down its HP Individual Value,70,TRUE
Auspicious Armor,Evolution Item,,Causes Charcadet to evolve into Armarouge,0,FALSE
Black Augurite,Evolution Item,,Causes Scyther to evolve into Kleavor,0,FALSE
Chipped Pot,Evolution Item,,Causes Sinistea-Antique to evolve into Polteageist-Antique,0,FALSE
Cracked Pot,Evolution Item,,Causes Sinistea-Phony to evolve into Polteageist-Phony,0,FALSE
Galarica Cuff,Evolution Item,,Causes Galarian Slowpoke to evolve into Galarian Slowbro,0,FALSE
Galarica Wreath,Evolution Item,,Causes Galarian Slowpoke to evolve into Galarian Slowking,0,FALSE
Malicious Armor,Evolution Item,,Causes Charcadet to evolve into Ceruledge,0,FALSE
Peat Block,Evolution Item,,Cause Ursaring to evolve into Ursaluna,0,FALSE
Razor Claw,Evolution Item,Raises critical hit ratio one stage,Causes Sneasel to evolve into Weavile and Hisuian Sneasel to evolve into Sneasler,80,TRUE
Sweet Apple,Evolution Item,,Causes Applin to evolve into Appletun,0,FALSE
Scroll of Darkness,Evolution Item,,Causes Kubfu to evolve into Urshifu-Single Strike,0,FALSE
Scroll of Waters,Evolution Item,,Causes Kubfu to evolve into Urshifu-Rapid Strike,0,FALSE
Tart Apple,Evolution Item,,Causes Applin to evolve into Flapple,0,FALSE
Deep Sea Scale,Evolution Item,If held by Clamperl: doubles its Special Defense.,Causes Clamperl to evolve into Gorebyss,30,TRUE
Deep Sea Tooth,Evolution Item,If held by Clamperl: doubles its Special Attack.,Causes Clamperl to evolve into Huntail,90,TRUE
Dragon Scale,Evolution Item,,Causes Seadra to evolve into Kingdra,30,TRUE
Dubious Disc,Evolution Item,,Causes Porygon2 to evolve into Porygon-Z,50,TRUE
Electirizer,Evolution Item,,Causes Electabuzz to evolve into Electivire,80,TRUE
King's Rock,Evolution Item,Gives attacks a 10% chance to flinch,Causes Poliwhirl to evolve into Poliwrath and Slowpoke to evolve into Slowking,30,TRUE
Magmarizer,Evolution Item,,Causes Magmar to evolve into Magmortar,80,TRUE
Metal Coat,Evolution Item,Boosts the power of Steel-type moves by 20%,Causes Onix to evolve into Steelix and Scyther to evolve into Scizor,30,TRUE
Oval Stone,Evolution Item,,Causes Happiny to evolve into Chansey,80,TRUE
Prism Scale,Evolution Item,,Causes Feebas to evolve into Milotic,30,TRUE
Protector,Evolution Item,,Causes Rhydon to evolve into Rhyperioir,80,TRUE
Razor Fang,Evolution Item,Gives attacks a 10% chance to flinch,Causes Gligar to evolve into Gliscor,30,TRUE
Reaper Cloth,Evolution Item,,Causes Dusclops to evolve into Dusknoir,10,TRUE
Sachet,Evolution Item,,Causes Spritzee to evolve into Aromatisse,80,TRUE
Upgrade,Evolution Item,,Cause Porygon to evolve into Porygon2,30,TRUE
Whipped Dream,Evolution Item,,Causes Swirlix to evolve into Slurpuff,80,TRUE
Strawberry Sweet,Evolution Item,,Causes Milcery to evolve into Alcremie,10,TRUE
Love Sweet,Evolution Item,,Causes Milcery to evolve into Alcremie,10,TRUE
Berry Sweet,Evolution Item,,Causes Milcery to evolve into Alcremie,10,TRUE
Clover Sweet,Evolution Item,,Causes Milcery to evolve into Alcremie,10,TRUE
Flower Sweet,Evolution Item,,Causes Milcery to evolve into Alcremie,10,TRUE
Star Sweet,Evolution Item,,Causes Milcery to evolve into Alcremie,10,TRUE
Deep Sea Scale,Evolution Item,If held by Clamperl: doubles its Special Defense.,Causes Clamperl to evolve into Gorebyss,10,TRUE
Lucky Egg,Experience,,The holder gains 150% of the experience they normally would,30,TRUE
Fire Gem,Gem,Boosts the power of the first Fire type move used by 30%,,0,FALSE
Water Gem,Gem,Boosts the power of the first Water type move used by 30%,,0,FALSE
Electric Gem,Gem,Boosts the power of the first Electric type move used by 30%,,0,FALSE
Grass Gem,Gem,Boosts the power of the first Grass type move used by 30%,,0,FALSE
Ice Gem,Gem,Boosts the power of the first Ice type move used by 30%,,0,FALSE
Fighting Gem,Gem,Boosts the power of the first Fighting type move used by 30%,,0,FALSE
Poison Gem,Gem,Boosts the power of the first Poison type move used by 30%,,0,FALSE
Ground Gem,Gem,Boosts the power of the first Ground type move used by 30%,,0,FALSE
Flying Gem,Gem,Boosts the power of the first Flying type move used by 30%,,0,FALSE
Psychic Gem,Gem,Boosts the power of the first Psychic type move used by 30%,,0,FALSE
Bug Gem,Gem,Boosts the power of the first Bug type move used by 30%,,0,FALSE
Rock Gem,Gem,Boosts the power of the first Rock type move used by 30%,,0,FALSE
Ghost Gem,Gem,Boosts the power of the first Ghost type move used by 30%,,0,FALSE
Dragon Gem,Gem,Boosts the power of the first Dragon type move used by 30%,,0,FALSE
Dark Gem,Gem,Boosts the power of the first Dark type move used by 30%,,0,FALSE
Steel Gem,Gem,Boosts the power of the first Steel type move used by 30%,,0,FALSE
Normal Gem,Gem,Boosts the power of the first Normal type move used by 30%,,0,FALSE
Fairy Gem,Gem,Boosts the power of the first Fairy type move used by 30%,,0,FALSE
Full Incense,Incense,Forces the holder to move last in its priority bracket,Causes Snorlax to produce Muchlax eggs,10,TRUE
Lax Incense,Incense,Reduces the accuracy of moves targeted at the holder by 10%,Causes Wobbuffet to produce Wynaut eggs,10,TRUE
Luck Incense,Incense,Doubles prize money received from battles when held.,Causes Chansey and Blissey to produce Happiny eggs,10,TRUE
Odd Incense,Incense,Boosts the power of the holder's Psychic-type moves.,Causes Mr. Mime and Mr. Rime to produce Mime Jr. eggs,10,TRUE
Pure Incense,Incense,Lowers wild Pokémon encounter rate when held.,Causes Chimecho to produce Chingling eggs,10,TRUE
Rock Incense,Incense,Boosts the power of the holder's Rock-type moves.,Causes Sudowoodo to produce Bonsly eggs,10,TRUE
Rose Incense,Incense,Boosts the power of the holder's Grass-type moves.,Causes Roselia and Roserade to produce Budew eggs,10,TRUE
Sea Incense,Incense,Boosts the power of the holder's Water-type moves.,Causes Marill and Azumarill to produce Azurill eggs,10,TRUE
Wave Incense,Incense,Boosts the power of the holder's Water-type moves.,Causes Mantine to produce Mantyke eggs,10,TRUE
Gengarite,Mega Stone,Allows Gengar to Mega Evolve,,0,FALSE
Gardevoirite,Mega Stone,Allows Gardevoir to Mega Evolve,,0,FALSE
Ampharosite,Mega Stone,Allows Ampharos to Mega Evolve,,0,FALSE
Venusaurite,Mega Stone,Allows Venusaur to Mega Evolve,,0,FALSE
Charizardite X ,Mega Stone,Allows Charizard to Mega Evolve,,0,FALSE
Blastoisinite,Mega Stone,Allows Blastoise to Mega Evolve,,0,FALSE
Mewtwonite X,Mega Stone,Allows Mewtwo to Mega Evolve,,0,FALSE
Mewtwonite Y,Mega Stone,Allows Mewtwo to Mega Evolve,,0,FALSE
Blazikenite,Mega Stone,Allows Blaziken to Mega Evolve,,0,FALSE
Medichamite,Mega Stone,Allows Medicham to Mega Evolve,,0,FALSE
Houndoominite,Mega Stone,Allows Houndoom to Mega Evolve,,0,FALSE
Aggronite,Mega Stone,Allows Aggron to Mega Evolve,,0,FALSE
Banettite,Mega Stone,Allows Banette to Mega Evolve,,0,FALSE
Tyranitarite,Mega Stone,Allows Tyranitar to Mega Evolve,,0,FALSE
Scizorite,Mega Stone,Allows Scizor to Mega Evolve,,0,FALSE
Pinsirite,Mega Stone,Allows Pinsir to Mega Evolve,,0,FALSE
Aerodactylite,Mega Stone,Allows Aerodactyl to Mega Evolve,,0,FALSE
Lucarionite,Mega Stone,Allows Lucario to Mega Evolve,,0,FALSE
Abomasite,Mega Stone,Allows Abomasnow to Mega Evolve,,0,FALSE
Kangaskhanite,Mega Stone,Allows Kangaskhan to Mega Evolve,,0,FALSE
Gyaradosite,Mega Stone,Allows Gyarados to Mega Evolve,,0,FALSE
Absolite,Mega Stone,Allows Absol to Mega Evolve,,0,FALSE
Charizardite Y,Mega Stone,Allows Charizard to Mega Evolve,,0,FALSE
Alakazite,Mega Stone,Allows Alakazam to Mega Evolve,,0,FALSE
Heracronite,Mega Stone,Allows Heracross to Mega Evolve,,0,FALSE
Mawilite,Mega Stone,Allows Mawile to Mega Evolve,,0,FALSE
Manectite,Mega Stone,Allows Manectric to Mega Evolve,,0,FALSE
Garchompite,Mega Stone,Allows Garchomp to Mega Evolve,,0,FALSE
Latiasite,Mega Stone,Allows Latias to Mega Evolve,,0,FALSE
Latiosite,Mega Stone,Allows Latios to Mega Evolve,,0,FALSE
Swampertite,Mega Stone,Allows Swampert to Mega Evolve,,0,FALSE
Sceptilite,Mega Stone,Allows Sceptile to Mega Evolve,,0,FALSE
Sablenite,Mega Stone,Allows Sableye to Mega Evolve,,0,FALSE
Altarianite,Mega Stone,Allows Altaria to Mega Evolve,,0,FALSE
Galladite,Mega Stone,Allows Gallade to Mega Evolve,,0,FALSE
Audinite,Mega Stone,Allows Audio to Mega Evolve,,0,FALSE
Metagrossite,Mega Stone,Allows Metagross to Mega Evolve,,0,FALSE
Sharpedonite,Mega Stone,Allows Sharpedo to Mega Evolve,,0,FALSE
Slowbronite,Mega Stone,Allows Slowbro to Mega Evolve,,0,FALSE
Steelixite,Mega Stone,Allows Steelix to Mega Evolve,,0,FALSE
Pidgeotite,Mega Stone,Allows Pidgeot to Mega Evolve,,0,FALSE
Glalitite,Mega Stone,Allows Glalie to Mega Evolve,,0,FALSE
Diancite,Mega Stone,Allows Diancie to Mega Evolve,,0,FALSE
Cameruptite,Mega Stone,Allows Camerupt to Mega Evolve,,0,FALSE
Lopunnite,Mega Stone,Allows Lopunny to Mega Evolve,,0,FALSE
Salamencite,Mega Stone,Allows Salamence to Mega Evolve,,0,FALSE
Beedrillite,Mega Stone,Allows Beedrill to Mega Evolve,,0,FALSE
Bug Memory,Memory,Changes Multi Attack to a Bug type attack,,50,TRUE
Dark Memory,Memory,Changes Multi Attack to a Dark type attack,,50,TRUE
Dragon Memory,Memory,Changes Multi Attack to a Dragon type attack,,50,TRUE
Electric Memory,Memory,Changes Multi Attack to an Electric type attack,,50,TRUE
Fairy Memory,Memory,Changes Multi Attack to a Fairy type attack,,50,TRUE
Fighting Memory,Memory,Changes Multi Attack to a Fighting type attack,,50,TRUE
Fire Memory,Memory,Changes Multi Attack to a Fire type attack,,50,TRUE
Flying Memory,Memory,Changes Multi Attack to a Flying type attack,,50,TRUE
Ghost Memory,Memory,Changes Multi Attack to a Ghost type attack,,50,TRUE
Grass Memory,Memory,Changes Multi Attack to a Grass type attack,,50,TRUE
Ground Memory,Memory,Changes Multi Attack to a Ground type attack,,50,TRUE
Ice Memory,Memory,Changes Multi Attack to an Ice type attack,,50,TRUE
Poison Memory,Memory,Changes Multi Attack to a Poison type attack,,50,TRUE
